"symbol","market","name","industry","supersector","sector","subsector","listedDate","issueShare","marketCap"
"MGG","UPCOM","Duc Giang Corporation","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2017-11-06",8999622,293387677200
"MGR","UPCOM","MGROUP Group Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2022-04-28",20000000,208660000000
"MH3","UPCOM","Binh Long Rubber Industrial Park Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2017-03-06",12000000,1224000000000
"MHC","HOSE","MHC Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Trucking","2005-03-21",41406964,284879086720
"MHL","HNX","Minh Huu Lien Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","2009-11-26",5430923,35433774100
"MIC","UPCOM","Quang Nam Mineral Industry Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2007-12-21",5544946,66175452000
"MIE","UPCOM","Machines and Industrial Equipment Corporation","Industrials","Industrial Goods & Services","Industrial Engineering","Industrial Machinery","2017-12-15",141991500,1987881000000
"MIG","HOSE","Military Insurance Corporation","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","2017-05-05",164450000,3831685000000
"MIM","HNX","Mineral and Mechanical Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2010-08-16",3409860,31711698000
"MKP","UPCOM","Mekophar Chemical Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2018-01-29",25545867,924816888600
"MKV","HNX","Cai Lay Veterinary Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2008-11-21",5000038,61000000000
"MLC","UPCOM","Lao Cai Urban Environment Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2017-05-23",4171175,18770287500
"MLS","UPCOM","Mitraco Livestock Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2016-12-28",4000000,77804000000
"MML","UPCOM","Masan MEATLife Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2019-12-09",326988447,20240584869300
"MNB","UPCOM","Nha Be Garment Corporation - Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2018-04-24",18200000,455000000000
"MND","UPCOM","Nam Dinh Environment Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2017-08-11",2194475,20628065000
"MPC","UPCOM","Minh Phu Seafood Corporation","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2017-10-16",200000000,8273868180650
"MPT","UPCOM","MPT Group Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2016-01-15",17107164,27884677320
"MPY","UPCOM","Phu Yen Town Environment Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2017-05-15",6143000,45458200000
"MQB","UPCOM","Quang Binh Environment and Urban Development Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2017-11-08",3675675,34183777500
"MQN","UPCOM","Quang Ngai Urban Environment Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2018-06-22",4709886,150716352000
"MRF","UPCOM","MERUFA Joint Stock Company","Health Care","Health Care","Health Care Equipment & Services","Medical Equipment","2017-12-12",3675404,198266616000
"MSB","HOSE","Vietnam Maritime Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","2020-12-23",1527500000,28411500000000
"MSH","HOSE","Song Hong Garment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2018-11-28",75014100,3401889435000
"MSN","HOSE","Masan Group Corporation","Consumer Goods","Food & Beverage","Food Producers","Food Products","2009-11-05",1423724783,151057199476300
"MSR","UPCOM","Masan High-Tech Materials Corporation","Basic Materials","Basic Resources","Mining","General Mining","2015-09-17",1099155420,21404952649080
"MST","HNX","MST Investment Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2016-05-10",68140691,579195873500
"MTA","UPCOM","Ha Tinh Minerals & Trading Joint Stock Corporation","Basic Materials","Basic Resources","Mining","General Mining","2015-10-21",110113591,902931446200
"MTB","UPCOM","Thai Binh Environment And Urban Projects Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2020-12-10",6278259,25740861900
"MTC","UPCOM","My Tra Tourist Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Hotels","2012-08-17",5200000,14383800000
"MTG","UPCOM","MT Gas JSC","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2009-01-15",6300000,32130000000
"MTH","UPCOM","Ha Dong Environment Public Service Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2011-02-10",4787910,124485660000
"MTL","UPCOM","Tu Liem Urban Environment Service Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2016-05-10",6000000,35952000000
"MTP","UPCOM","Medipharco Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2010-09-23",6598367,85718971000
"MTS","UPCOM","Vinacomin - Materials Trading Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Industrial Suppliers","2017-04-28",15000000,151500000000
"MTV","UPCOM","Vung Tau Environment Services and Urban Project Joint Stock Company ","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2017-08-16",5400000,117180000000
"MVB","HNX","Vinacomin - Viet Bac Mining Industry Holding Corporation","Basic Materials","Basic Resources","Mining","General Mining","2016-10-14",105000000,2257500000000
"MVC","UPCOM","Binh Duong Building Materials and Construction Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2017-03-22",100000000,810600000000
"MVN","UPCOM","Vietnam Maritime Corporation","Industrials","Industrial Goods & Services","Industrial Transportation","Marine Transportation","2018-10-08",6374700,30360469344000
"MWG","HOSE","Mobile World Investment Corporation","Consumer Services","Retail","General Retailers","Specialty Retailers","2014-07-14",1464111280,89286287430000
"NAB","UPCOM","Nam A Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","2020-10-09",656440504,9354277182000
"NAC","UPCOM","National of General Construction Consultants Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-03-21",2835000,3969000000
"NAF","HOSE","Nafoods Group Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Soft Drinks","2015-10-07",50564152,742491671400
"NAG","HNX","Nagakawa Group Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electrical Components & Equipment","2009-09-22",16682624,437084696400
"NAP","HNX","Nghe Tinh Port Holding Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2016-07-19",21517200,271116720000
"NAS","UPCOM","Noibai Airport Services Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2017-01-25",8315764,274410906000
"NAU","UPCOM","Nghe An Urban Environment and Works Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2018-06-29",3669999,23854993500
"NAV","HOSE","Nam Viet Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2006-12-22",8000000,165599586000
"NAW","UPCOM","Nghe An Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2017-08-04",37385983,332735248700
"NBB","HOSE","577 Investment Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2009-02-18",100475656,1752796412500
"NBC","HNX","Vinacomin - Nui Beo Coal Joint Stock Company","Basic Materials","Basic Resources","Mining","Coal","2006-12-27",36999124,599385808800
"NBE","UPCOM","North Books and Educational Equipment Joint Stock Company","Consumer Services","Media","Media","Publishing","2017-08-21",5000000,65820000000
"NBP","HNX","Ninh Binh Thermal Power Joint-Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2009-08-06",12865500,200701800000
"NBT","UPCOM","Ben Tre Water Supply and Sewerage Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2016-06-01",29400000,408660000000
"NBW","HNX","Nha Be Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2010-05-04",10900000,220180000000
"NCS","UPCOM","Noibai Catering Services Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2015-12-02",17949098,424170046930
"NCT","HOSE","Noibai Cargo Terminal Services Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2015-01-08",26166940,2394164478000
"ND2","UPCOM","Northern Electricity Development and Investment Joint Stock Company No. 2","Utilities","Utilities","Electricity","Conventional Electricity","2010-07-22",49993960,1749788600000
"NDC","UPCOM","Nam Duoc Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2010-03-11",5964000,737216004000
"NDF","UPCOM","Nam Dinh Export Foodstuff and Agricultutal Products Processing Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2014-09-12",7853800,12966623800
"NDN","HNX","Danang Housing Investment Development Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2011-04-21",71657936,752408328000
"NDP","UPCOM","National Day Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2013-04-09",11100000,277500000000
"NDT","UPCOM","Nam Dinh Textile Garment Joint Stock Corporation","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2018-09-11",13600000,257080800000
"NDW","UPCOM","Nam Dinh Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2019-06-11",34311748,273824384000
"NDX","HNX","Danang Housing Development Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2013-07-17",9987557,72865433200
"NED","UPCOM","North - West Electric Investment and Development Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-08-18",40500000,321813000000
"NET","HNX","Net Detergent Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Personal Products","2010-09-15",22398374,1119918700000
"NFC","HNX","Ninh Binh Phosphate Fertilizer Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2014-03-03",15731260,269004546000
"NGC","UPCOM","Ngo Quyen Processing Export Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2008-03-06",2299854,44847153000
"NHA","HOSE","Ha Noi South Housing and Urban Development Corporation","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2010-07-13",42174520,915187084000
"NHC","HNX","Nhi Hiep Brick-Tile Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2005-12-16",3041542,113753670800
"NHH","HOSE","HaNoi Plastics Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2017-09-08",72880000,1034896000000
"NHP","UPCOM","NHP Production Import - Export Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2015-03-11",27576490,38607086000
"NHT","HOSE","Nam Hoa Trading &amp; Production Corporation","Consumer Goods","Personal & Household Goods","Leisure Goods","Toys","2017-12-01",18488896,415449562500
"NHV","UPCOM","Nirvana Health Vietnam Joint Stock Company ","Basic Materials","Basic Resources","Industrial Metals & Mining","Nonferrous Metals","2017-06-14",3223600,187052662896
"NJC","UPCOM","Nam Dinh Garment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2020-12-23",3000000,60900000000
"NKG","HOSE","Nam Kim Steel Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","2011-01-14",263277806,4686344946800
"NLG","HOSE","Nam Long Investment Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2013-04-08",382940013,14992101508950
"NLS","UPCOM","Lang Son Water Supply and Drainage Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2016-07-29",5009800,22544100000
"NNC","HOSE","Nui Nho Stone Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2010-06-23",21920000,385792000000
"NNG","UPCOM","Ngoc Nghia Industry - Service - Trading Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2015-03-31",81570988,1223564820000
"NNT","UPCOM","Ninh Thuan Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2012-06-22",9490841,341670276000
"NOS","UPCOM","Oriental Shipping and Trading Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Marine Transportation","2011-01-11",20056000,43972398864
"NQB","UPCOM","Quang Binh Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2015-07-16",17230204,346327100400
"NQN","UPCOM","Quang Ninh Clean Water Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2018-06-15",50831593,787889691500
"NQT","UPCOM","Quang Tri Clean Water Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2016-12-09",18233269,145866152000
"NRC","HNX","Danh Khoi Group Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2018-04-05",88188686,1305628444200
"NS2","UPCOM","Hanoi Water Supply Number 2 Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2016-11-30",56800000,482800000000
"NSC","HOSE","Vietnam National Seed Group Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2006-12-21",17586988,1646732149200
"NSG","UPCOM","Sai Gon Plastic Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2016-05-19",8639208,120948912000
"NSH","HNX","Song Hong Aluminum Shalumi Group Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Aluminum","2017-07-31",20693437,122091278300
"NSL","UPCOM","SonLa Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2019-07-22",10000000,179997462000
"NSS","UPCOM","Dong Nai Agricultural Livestock Product Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2018-10-30",10263942,41055768000
"NST","HNX","Ngan Son Joint Stock Company","Consumer Goods","Personal & Household Goods","Tobacco","Tobacco","2006-12-29",11202003,75053420100
"NT2","HOSE","PetroVietnam Power Nhon Trach 2 Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2010-01-22",287876029,7484776754000
"NTB","UPCOM","Transport Engineering Construction And Business Investment Joint Stock Company 584","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2010-05-17",39779577,43558636815
"NTC","UPCOM","Nam Tan Uyen Joint Stock Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2016-12-19",23999980,4190396508000
"NTF","UPCOM","Nghe An Pharmaceutical Medical Material Equipment Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2019-07-04",6000000,148200000000
"NTH","HNX","Nuoc trong Thermal Power Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2019-06-19",10802053,491493411500
"NTL","HOSE","Tu Liem Urban Development Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2007-12-21",60989950,1707718600000
"NTP","HNX","Tien Phong Plastics Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2006-12-11",117796183,5170055826600
"NTT","UPCOM","Nha Trang Textile &amp; Garment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2017-12-27",23500000,227950000000
"NTW","UPCOM","Nhon Trach Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2012-04-09",10000000,198570000000
"NUE","UPCOM","Nha Trang Urban Environmental Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2017-02-20",6000000,63030000000
"NVB","HNX","National Citizen Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","2010-09-13",560155587,16035943305600
"NVL","HOSE","No Va Land Investment Group Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2016-12-28",1949833809,145262618770500
"NVP","UPCOM","Vinh Phuc Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2016-12-15",10963000,57007600000
"NVT","HOSE","Ninh Van Bay Travel Real Estate Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2010-05-07",90500000,1276050000000
"NWT","UPCOM","Newway Transport Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","2016-03-30",8500000,91800000000
"NXT","UPCOM","Kon Tum Construction Materials Supply And Production Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2021-12-09",3300000,60908100000
"OCB","HOSE","Orient Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","2021-01-28",1369882863,24863373963450
"OCH","HNX","One Capital Hospitality Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2010-10-01",200000000,1540000000000
"ODE","UPCOM","ODE Media and Entertainment Group Joint Stock Company","Consumer Services","Media","Media","Broadcasting & Entertainment","2022-01-10",10000000,482580000000
"OGC","HOSE","Ocean Group Joint Stock Company","Financials","Financial Services","Financial Services","Specialty Finance","2010-05-04",300000000,3764999987450
"OIL","UPCOM","PetroVietnam Oil Corporation","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production","2018-03-07",201425936,12897876094500
"ONE","HNX","One Communication Technology Corporation","Technology","Technology","Technology Hardware & Equipment","Computer Hardware","2008-06-24",7960310,57623703400
"ONW","UPCOM","One World Services Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Recreational Services","2017-02-17",2000000,9000000000
"OPC","HOSE","OPC Pharmaceutial Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2008-10-30",26577280,1761409237500
"ORS","HOSE","Tien Phong Securities Corporation","Financials","Financial Services","Financial Services","Investment Services","2010-07-12",200000000,2860000000000
"PAC","HOSE","Dry Cell and Storage Battery Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electrical Components & Equipment","2006-12-12",46471707,1672981452000
"PAI","UPCOM","Petroleum Information Technology Telecom and Automation Joint Stock Company","Telecommunications","Telecommunications","Fixed Line Telecommunications","Fixed Line Telecommunications","2017-01-23",4235290,55058770000
"PAN","HOSE","The PAN Group Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2006-12-22",216358580,4773245037500
"PAP","UPCOM","Petro Vietnam Phuoc An Port Investment &amp; Operation Join Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2021-07-14",150000000,1740000000000
"PAS","UPCOM","Phuong Anh International Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","2020-09-21",28049968,240865075216
"PAT","UPCOM","Vietnam Apatite - Phosphorus Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2022-06-17",25000000,3895250000000
"PBC","UPCOM","Pharbaco Central Pharmaceutical Joint Stock Company No. 1","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2019-11-26",110000000,1800700000000
"PBP","HNX","PetroVietnam Packaging Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2015-01-27",4799516,71032836800
"PBT","UPCOM","Petro Vietnam Building and Commercial Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2019-01-18",17522284,180479525200
"PC1","HOSE","PC1 Group Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2016-11-16",235159649,8747938942800
"PCC","UPCOM","Petrolimex Construction 1 Joint Stock Company Group","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-11-14",11500000,204700000000
"PCE","HNX","Central Petrovietnam Fertilizer and Chemicals Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2015-07-23",10000000,271000000000
"PCF","UPCOM","PETEC Coffee Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Soft Drinks","2017-03-29",3000000,11520000000
"PCG","HNX","PetroVietnam Gas City Investment and Deverlopment Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2010-12-29",18870000,130203000000
"PCH","HNX","Picomat Plastic Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2022-07-28",20000000,314000000000
"PCM","UPCOM","Post and Telecommunications Construction Material Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2017-08-10",4000000,45472000000
"PCN","UPCOM","DMC - Northern Petroleum Chemicals Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2015-12-18",3924550,17600000000
"PCT","HNX","Vietnam Gas and Chemicals Transportation Corporation","Industrials","Industrial Goods & Services","Industrial Transportation","Trucking","2011-09-12",23000000,163300000000
"PDB","HNX","DIN Capital Investment Group Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2015-08-03",8909981,151469677000
"PDN","HOSE","Dong Nai Port Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2011-10-26",18521954,1917022239000
"PDR","HOSE","Phat Dat Real Estate Development Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2010-07-30",671646219,35328591119400
"PDV","UPCOM","Phuong Dong Viet Shipping and Logistics Corporation","Industrials","Industrial Goods & Services","Industrial Transportation","Marine Transportation","2017-04-20",25109986,326654853000
"PEC","UPCOM","Power Engineering Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Engineering","Industrial Machinery","2010-10-06",3115409,23365567500
"PEG","UPCOM","PETEC Trading and Investment Corporation","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2018-11-05",231898919,1513175017600
"PEN","HNX","Petrolimex Installation No.3 joint stock company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2014-09-25",5000000,49000000000
"PEQ","UPCOM","Petrolimex Equipment Joint Stock Company","Oil & Gas","Oil & Gas","Oil Equipment, Services & Distribution","Oil Equipment & Services","2016-01-18",4965514,201103317000
"PET","HOSE","Petrovietnam General Services Corporation","Consumer Services","Retail","General Retailers","Specialty Retailers","2007-09-12",90450124,3036504931200
"PFL","UPCOM","Petroleum Dong Do Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2010-11-17",50000000,219850000000
"PGB","UPCOM","Petrolimex Group Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","2020-12-24",300000000,6450300000000
"PGC","HOSE","Petrolimex Gas Corporation - Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2006-11-24",60342638,1176616057500
"PGD","HOSE","Petro Viet Nam Low Pressure Gas Distribution Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2009-11-26",89999025,2942936889000
"PGI","HOSE","Petrolimex Insurance Corporation","Financials","Insurance","Nonlife Insurance","Property & Casualty Insurance","2011-07-29",110896796,3016392851200
"PGN","HNX","Plastic Additives Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2019-07-04",7545647,104791656000
"PGS","HNX","Southern Gas Trading Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2007-11-15",50000000,1349967438000
"PGT","HNX","PGT Holdings Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","2009-12-25",9241801,50829905500
"PGV","HOSE","Power Generation Joint Stock Corporation 3","Utilities","Utilities","Electricity","Conventional Electricity","2018-03-21",1123468046,27918180943100
"PHC","HOSE","Phuc Hung Holdings Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2009-11-05",50602094,415084982130
"PHH","UPCOM","Hong Ha Vietnam Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2010-03-17",20000000,170321000000
"PHN","HNX","Hanoi Battery Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electrical Components & Equipment","2019-03-13",7253911,274197835800
"PHP","HNX","Hai Phong Port Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2015-08-12",326960000,5819888000000
"PHR","HOSE","Phuoc Hoa Rubber Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2009-08-18",135499198,9064896346200
"PHS","UPCOM","Phu Hung Securities Corporation","Financials","Financial Services","Financial Services","Investment Services","2019-07-31",91050000,3099192737140
"PIA","HNX","Petrolimex Information Technology and Telecommunication Joint Stock Company","Telecommunications","Telecommunications","Fixed Line Telecommunications","Fixed Line Telecommunications","2017-02-22",3900000,113490000000
"PIC","HNX","PC3-Investment Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2015-08-05",33339891,513434321400
"PID","UPCOM","Petroleum Interior Decoration Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2012-11-22",4000000,15600000000
"PIS","UPCOM","PISICO Binh Dinh Corporation Joint Stock Company","Basic Materials","Basic Resources","Forestry & Paper","Forestry","2016-01-12",27500000,365750000000
"PIT","HOSE","Petrolimex International Trading Joint Stock Company","Consumer Services","Retail","General Retailers","Broadline Retailers","2008-01-24",15199345,89382315250
"PIV","UPCOM","PIV Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Services","2010-08-18",17324942,24254918800
"PJC","HNX","Petrolimex Ha Noi Transportation and Trading Joint-Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2006-12-25",7326928,168517803000
"PJS","UPCOM","Phu Hoa Tan Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2011-12-05",9000000,126000000000
"PJT","HOSE","Petrolimex Joint Stock Tanker Company","Industrials","Industrial Goods & Services","Industrial Transportation","Marine Transportation","2006-12-28",23040717,264968245500
"PLA","UPCOM","Petroleum Logistic Service and Investment Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2017-11-20",10000000,52000000000
"PLC","HNX","Petrolimex Petrochemical Corporation","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2006-12-27",80798839,2157295012200
"PLE","UPCOM","Petrolimex Engineering Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2021-01-07",1215000,39001500000
"PLO","UPCOM","Petec Logistics Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2020-04-10",7192550,24454670000
"PLP","HOSE","Pha Le Plastics Manufacturing and Technology Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2017-08-21",60000000,493798740810
"PLX","HOSE","Vietnam National Petroleum Group","Oil & Gas","Oil & Gas","Oil & Gas Producers","Exploration & Production","2017-04-21",1293878081,52221340858500
"PMB","HNX","North PetroVietnam Fertilizer and Chemicals Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2015-10-07",12000000,182400000000
"PMC","HNX","Pharmedic Pharmaceutical Medicinal Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2009-10-09",9332573,598217929300
"PMG","HOSE","Petro Center Corporation","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2018-01-25",46336278,546768080400
"PMJ","UPCOM","Posts and Telecommunications Material Supply Joint Stock Company","Technology","Technology","Technology Hardware & Equipment","Telecommunications Equipment","2016-06-29",1800000,41580000000
