symbol,name,lastsale,netchange,pctchange,marketCap,url
LYL,Dragon Victory International Limited Ordinary Shares,$0.4788,UNCH,--,"5,468,563",/market-activity/stocks/lyl
LYLT,Loyalty Ventures Inc. Common Stock,$2.41,UNCH,--,"59,314,759",/market-activity/stocks/lylt
LYRA,"Lyra Therapeutics, Inc. Common Stock",$3.51,UNCH,--,"111,712,798",/market-activity/stocks/lyra
LYT,Lytus Technologies Holdings PTV. Ltd. Common Shares,$0.965,0.0151,1.59%,"36,261,273",/market-activity/stocks/lyt
LYTS,LSI Industries Inc. Common Stock,$11.82,-0.05,-0.421%,"328,328,986",/market-activity/stocks/lyts
LYV,"Live Nation Entertainment, Inc. Common Stock",$74.46,1.70,2.336%,"17,191,315,790",/market-activity/stocks/lyv
LZ,"LegalZoom.com, Inc. Common Stock",$8.905,0.055,0.621%,"1,715,541,785",/market-activity/stocks/lz
LZB,La-Z-Boy Incorporated Common Stock,$26.1298,-1.1002,-4.04%,"1,124,527,142",/market-activity/stocks/lzb
M,Macy's Inc Common Stock,$23.2775,-0.2225,-0.947%,"6,308,202,500",/market-activity/stocks/m
MA,Mastercard Incorporated Common Stock,$357.88,1.48,0.415%,"344,087,224,277",/market-activity/stocks/ma
MAA,"Mid-America Apartment Communities, Inc. Common Stock",$166.4196,1.5396,0.934%,"19,217,639,145",/market-activity/stocks/maa
MAA^I,"Mid-America Apartment Communities, Inc. 8.50% Series I Cumulative Redeemable Preferred Stock",$55.40,UNCH,--,NA,/market-activity/stocks/maa^i
MAC,Macerich Company (The) Common Stock,$12.615,-0.085,-0.669%,"2,709,509,722",/market-activity/stocks/mac
MACA,Moringa Acquisition Corp Class A Ordinary Shares,$10.02,UNCH,--,"148,847,100",/market-activity/stocks/maca
MACAW,Moringa Acquisition Corp Warrant,$0.04,UNCH,--,NA,/market-activity/stocks/macaw
MACC,Mission Advancement Corp. Class A Common Stock,$10.05,-0.005,-0.05%,"433,406,250",/market-activity/stocks/macc
MACK,"Merrimack Pharmaceuticals, Inc. Common Stock",$11.91,UNCH,--,"159,715,994",/market-activity/stocks/mack
MAG,MAG Silver Corporation Ordinary Shares,$16.15,0.41,2.605%,"1,595,156,463",/market-activity/stocks/mag
MAIA,"MAIA Biotechnology, Inc. Common Stock",$3.675,-0.025,-0.676%,"40,226,197",/market-activity/stocks/maia
MAIN,Main Street Capital Corporation Common Stock,$38.41,0.17,0.445%,"2,967,318,189",/market-activity/stocks/main
MAN,ManpowerGroup Common Stock,$89.06,1.54,1.76%,"4,502,618,265",/market-activity/stocks/man
MANH,"Manhattan Associates, Inc. Common Stock",$127.62,1.68,1.334%,"7,963,084,976",/market-activity/stocks/manh
MANU,Manchester United Ltd. Class A Ordinary Shares,$22.96,0.86,3.891%,"3,743,905,288",/market-activity/stocks/manu
MAPS,"WM Technology, Inc. Class A Common Stock ",$1.1932,0.0232,1.983%,"108,524,485",/market-activity/stocks/maps
MAPSW,"WM Technology, Inc. Warrants ",$0.175,-0.005,-2.778%,NA,/market-activity/stocks/mapsw
MAQC,Maquia Capital Acquisition Corporation Class A Common Stock,$10.58,UNCH,--,"91,242,766",/market-activity/stocks/maqc
MAQCU,Maquia Capital Acquisition Corporation Unit,$11.52,0.71,6.568%,NA,/market-activity/stocks/maqcu
MAR,Marriott International Class A Common Stock,$165.65,0.30,0.181%,"52,434,786,893",/market-activity/stocks/mar
MARA,"Marathon Digital Holdings, Inc. Common Stock",$6.5604,0.2404,3.804%,"766,532,153",/market-activity/stocks/mara
MARK,"Remark Holdings, Inc. Common Stock",$0.241,0.001,0.417%,"25,644,272",/market-activity/stocks/mark
MARPS,Marine Petroleum Trust Units of Beneficial Interest,$8.0909,0.3009,3.863%,"16,181,800",/market-activity/stocks/marps
MAS,Masco Corporation Common Stock,$51.54,0.76,1.497%,"11,623,770,999",/market-activity/stocks/mas
MASI,Masimo Corporation Common Stock,$148.385,3.445,2.377%,"7,799,807,519",/market-activity/stocks/masi
MASS,908 Devices Inc. Common Stock,$11.04,0.34,3.178%,"350,092,575",/market-activity/stocks/mass
MAT,"Mattel, Inc. Common Stock",$18.49,0.26,1.426%,"6,552,884,438",/market-activity/stocks/mat
MATV,"Mativ Holdings, Inc. Common Stock",$20.865,0.095,0.457%,"1,146,390,515",/market-activity/stocks/matv
MATW,Matthews International Corporation Class A Common Stock,$31.80,0.14,0.442%,"963,478,022",/market-activity/stocks/matw
MATX,"Matson, Inc. Common Stock",$64.0567,0.2967,0.465%,"2,420,106,005",/market-activity/stocks/matx
MAV,"Pioneer Municipal High Income Advantage Fund, Inc.",$8.34,0.04,0.482%,"199,446,421",/market-activity/stocks/mav
MAX,"MediaAlpha, Inc. Class A Common Stock",$11.90,0.03,0.253%,"513,008,238",/market-activity/stocks/max
MAXN,"Maxeon Solar Technologies, Ltd. Ordinary Shares",$23.205,0.185,0.804%,"1,044,146,451",/market-activity/stocks/maxn
MAXR,Maxar Technologies Inc.,$24.8233,0.6233,2.576%,"1,850,864,022",/market-activity/stocks/maxr
MAYS,"J. W. Mays, Inc. Common Stock",$48.23,-1.29,-2.605%,"97,221,069",/market-activity/stocks/mays
MBAC,M3-Brigade Acquisition II Corp. Class A Common Stock,$9.95,-0.01,-0.10%,"497,500,000",/market-activity/stocks/mbac
MBCN,Middlefield Banc Corp. Common Stock,$28.60,0.30,1.06%,"182,413,946",/market-activity/stocks/mbcn
MBI,MBIA Inc. Common Stock,$12.43,-0.28,-2.203%,"682,315,242",/market-activity/stocks/mbi
MBIN,Merchants Bancorp Common Stock,$25.2508,-0.3392,-1.326%,"1,088,551,332",/market-activity/stocks/mbin
MBINM,"Merchants Bancorp Depositary Shares, Each Representing a 1/40th Interest in a Share of 8.25% Fixed-Rate Reset Series D Non-Cumulative Perpetual Preferred Stock",$27.75,0.20,0.726%,NA,/market-activity/stocks/mbinm
MBINN,Merchants Bancorp Depositary Shares Preferred Series C,$21.52,-0.43,-1.959%,NA,/market-activity/stocks/mbinn
MBINO,Merchants Bancorp Depositary Shares Each Representing a 1/40th Interest in a Share of Series B  Fixed-to-Floating Rate,$21.80,-0.01,-0.046%,NA,/market-activity/stocks/mbino
MBINP,Merchants Bancorp 7.00% Fixed-to-Floating Rate Series A Non-Cumulative Perpetual Preferred Stock,$24.4456,-0.5544,-2.218%,NA,/market-activity/stocks/mbinp
MBIO,"Mustang Bio, Inc. Common Stock",$0.49,-0.015,-2.97%,"52,579,061",/market-activity/stocks/mbio
MBLY,Mobileye Global Inc. Class A Common Stock,$28.55,0.04,0.14%,"23,030,537,276",/market-activity/stocks/mbly
MBNKP,"Medallion Bank Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series F",$24.15,0.15,0.625%,NA,/market-activity/stocks/mbnkp
MBOT,Microbot Medical Inc. Common Stock,$4.4538,-0.0962,-2.114%,"35,143,279",/market-activity/stocks/mbot
MBRX,"Moleculin Biotech, Inc. Common Stock",$1.4399,-0.0001,-0.007%,"41,221,208",/market-activity/stocks/mbrx
MBSC,M3-Brigade Acquisition III Corp. Class A Common Stock,$10.04,-0.02,-0.199%,"376,500,000",/market-activity/stocks/mbsc
MBTC,Nocturne Acquisition Corporation Ordinary Shares,$10.49,UNCH,--,"55,849,599",/market-activity/stocks/mbtc
MBTCU,Nocturne Acquisition Corporation Unit,$10.49,-0.01,-0.095%,NA,/market-activity/stocks/mbtcu
MBUU,"Malibu Boats, Inc. Class A Common Stock",$58.30,0.59,1.022%,"1,186,131,981",/market-activity/stocks/mbuu
MBWM,Mercantile Bank Corporation Common Stock,$34.68,0.19,0.551%,"550,239,296",/market-activity/stocks/mbwm
MC,Moelis & Company Class A Common Stock,$43.69,0.47,1.087%,"2,794,777,212",/market-activity/stocks/mc
MCAA,Mountain & Co. I Acquisition Corp. Class A Ordinary Shares,$10.35,-0.005,-0.048%,"297,562,500",/market-activity/stocks/mcaa
MCAAW,Mountain & Co. I Acquisition Corp. Warrant,$0.03,-0.0002,-0.662%,NA,/market-activity/stocks/mcaaw
MCAC,Monterey Capital Acquisition Corporation Class A Common Stock,$9.97,UNCH,--,"116,030,860",/market-activity/stocks/mcac
MCACR,Monterey Capital Acquisition Corporation Rights,$0.14,0.023,19.658%,NA,/market-activity/stocks/mcacr
MCACU,Monterey Capital Acquisition Corporation Unit,$10.061,-0.009,-0.089%,NA,/market-activity/stocks/mcacu
MCAF,Mountain Crest Acquisition Corp. IV Common Stock,$10.00,UNCH,--,"75,575,000",/market-activity/stocks/mcaf
MCAG,Mountain Crest Acquisition Corp. V Common Stock,$10.00,UNCH,--,"90,259,000",/market-activity/stocks/mcag
MCAGR,Mountain Crest Acquisition Corp. V Right,$0.1997,0.0497,33.133%,NA,/market-activity/stocks/mcagr
MCB,Metropolitan Bank Holding Corp. Common Stock,$64.00,0.46,0.724%,"699,628,608",/market-activity/stocks/mcb
MCBC,Macatawa Bank Corporation Common Stock,$11.1258,0.0158,0.142%,"381,017,295",/market-activity/stocks/mcbc
MCBS,"MetroCity Bankshares, Inc. Common Stock",$22.32,-0.18,-0.80%,"564,892,952",/market-activity/stocks/mcbs
MCD,McDonald's Corporation Common Stock,$272.60,-0.19,-0.07%,"199,658,752,959",/market-activity/stocks/mcd
MCFT,"MasterCraft Boat Holdings, Inc. Common Stock",$25.795,0.075,0.292%,"459,263,853",/market-activity/stocks/mcft
MCG,Membership Collective Group Inc. Class A Common Stock,$4.71,0.21,4.667%,"930,610,853",/market-activity/stocks/mcg
MCHP,Microchip Technology Incorporated Common Stock,$78.28,-0.91,-1.149%,"43,054,681,819",/market-activity/stocks/mchp
MCHX,"Marchex, Inc. Class B Common Stock",$1.75,0.05,2.941%,"74,310,348",/market-activity/stocks/mchx
MCI,Barings Corporate Investors Common Stock,$14.01,0.39,2.863%,"283,866,683",/market-activity/stocks/mci
MCK,McKesson Corporation Common Stock,$382.64,0.96,0.252%,"54,255,857,187",/market-activity/stocks/mck
MCLD,mCloud Technologies Corp. Common Shares,$0.95,0.0299,3.25%,"21,620,312",/market-activity/stocks/mcld
MCLDW,mCloud Technologies Corp. Warrants,$0.141,-0.0444,-23.948%,NA,/market-activity/stocks/mcldw
MCN,Madison Covered Call & Equity Strategy Fund Common Stock,$7.85,0.12,1.552%,"164,764,937",/market-activity/stocks/mcn
MCO,Moody's Corporation Common Stock,$306.93,8.66,2.903%,"56,229,576,000",/market-activity/stocks/mco
MCR,MFS Charter Income Trust Common Stock,$6.9299,0.0599,0.872%,"307,030,405",/market-activity/stocks/mcr
MCRB,"Seres Therapeutics, Inc. Common Stock",$6.43,-0.07,-1.077%,"801,124,895",/market-activity/stocks/mcrb
MCRI,"Monarch Casino & Resort, Inc. Common Stock",$84.41,-0.44,-0.519%,"1,600,552,286",/market-activity/stocks/mcri
MCS,Marcus Corporation (The) Common Stock,$16.46,0.22,1.355%,"518,626,486",/market-activity/stocks/mcs
MCVT,"Mill City Ventures III, Ltd. Common Stock",$2.04,UNCH,--,NA,/market-activity/stocks/mcvt
MCW,"Mister Car Wash, Inc. Common Stock",$10.39,0.15,1.465%,"3,168,873,218",/market-activity/stocks/mcw
MCY,Mercury General Corporation Common Stock,$36.095,-0.185,-0.51%,"1,998,620,829",/market-activity/stocks/mcy
MD,"Pediatrix Medical Group, Inc. Common Stock",$16.14,0.16,1.001%,"1,340,745,878",/market-activity/stocks/md
MDB,"MongoDB, Inc. Class A Common Stock",$158.495,5.805,3.802%,"10,889,729,279",/market-activity/stocks/mdb
MDC,"M.D.C. Holdings, Inc. Common Stock",$33.28,0.85,2.621%,"2,371,671,977",/market-activity/stocks/mdc
MDGL,"Madrigal Pharmaceuticals, Inc. Common Stock",$70.66,0.55,0.784%,"1,208,525,891",/market-activity/stocks/mdgl
MDGS,Medigus Ltd. American Depositary Shares,$6.26,-0.0802,-1.265%,"10,262,838",/market-activity/stocks/mdgs
MDGSW,Medigus Ltd. Series C Warrant,$0.2007,-0.0293,-12.739%,NA,/market-activity/stocks/mdgsw
MDH,MDH Acquisition Corp. Class A Common Stock,$9.99,UNCH,--,"344,655,000",/market-activity/stocks/mdh
MDIA,"Mediaco Holding Inc. Class A Common Stock ",$1.15,0.0314,2.807%,"8,160,929",/market-activity/stocks/mdia
MDJH,MDJM LTD Ordinary Share,$1.69,-0.01,-0.588%,"19,672,986",/market-activity/stocks/mdjh
MDLZ,"Mondelez International, Inc. Class A Common Stock",$68.27,0.66,0.976%,"93,230,775,541",/market-activity/stocks/mdlz
MDNA,Medicenna Therapeutics Corp. Common Shares,$0.5614,0.0314,5.925%,"39,094,475",/market-activity/stocks/mdna
MDRR,"Medalist Diversified REIT, Inc. Common Stock",$0.775,0.005,0.649%,"11,778,685",/market-activity/stocks/mdrr
MDRX,"Allscripts Healthcare Solutions, Inc. Common Stock",$19.08,0.14,0.739%,"2,084,676,526",/market-activity/stocks/mdrx
MDT,Medtronic plc. Ordinary Shares,$79.56,0.52,0.658%,"105,826,620,866",/market-activity/stocks/mdt
MDU,"MDU Resources Group, Inc. Common Stock (Holding Company)",$31.73,0.24,0.762%,"6,452,318,980",/market-activity/stocks/mdu
MDV,Modiv Inc. Class C Common Stock,$13.33,0.08,0.604%,"99,786,594",/market-activity/stocks/mdv
MDV^A,Modiv Inc. 7.375% Series A Cumulative Redeemable Perpetual Preferred Stock,$20.26,-0.3357,-1.63%,NA,/market-activity/stocks/mdv^a
MDVL,"MedAvail Holdings, Inc. Common Stock",$0.4168,-0.0023,-0.549%,"33,363,046",/market-activity/stocks/mdvl
MDWD,MediWound Ltd. Ordinary Shares,$1.60,0.0001,0.006%,"65,176,315",/market-activity/stocks/mdwd
MDWT,Midwest Holding Inc. Common Stock,$16.40,1.38,9.188%,"61,138,806",/market-activity/stocks/mdwt
MDXG,"MiMedx Group, Inc Common Stock",$3.23,-0.02,-0.615%,"367,148,218",/market-activity/stocks/mdxg
MDXH,MDxHealth SA American Depositary Shares,$7.5243,UNCH,--,"122,556,498",/market-activity/stocks/mdxh
ME,23andMe Holding Co. Class A Common Stock,$3.0698,0.0198,0.649%,"1,398,247,184",/market-activity/stocks/me
MEAC,Mercury Ecommerce Acquisition Corp Class A Common Stock,$10.15,UNCH,--,"228,901,531",/market-activity/stocks/meac
MEACW,Mercury Ecommerce Acquisition Corp Warrants,$0.0322,0.0013,4.207%,NA,/market-activity/stocks/meacw
MEC,"Mayville Engineering Company, Inc. Common Stock",$12.76,-0.02,-0.156%,"257,404,239",/market-activity/stocks/mec
MED,MEDIFAST INC Common Stock,$123.47,-2.58,-2.047%,"1,349,155,332",/market-activity/stocks/med
MEDP,"Medpace Holdings, Inc. Common Stock",$213.49,3.60,1.715%,"6,639,517,011",/market-activity/stocks/medp
MEDS,"TRxADE HEALTH, Inc. Common Stock",$0.565,0.0219,4.032%,"4,557,104",/market-activity/stocks/meds
MEG,"Montrose Environmental Group, Inc. Common Stock",$46.58,0.42,0.91%,"1,383,964,744",/market-activity/stocks/meg
MEGI,MainStay CBRE Global Infrastructure Megatrends Fund Common Shares,$14.55,0.17,1.182%,NA,/market-activity/stocks/megi
MEGL,Magic Empire Global Limited Ordinary Shares,$2.29,0.04,1.778%,"45,800,000",/market-activity/stocks/megl
MEI,"Methode Electronics, Inc. Common Stock",$46.63,0.95,2.08%,"1,705,449,817",/market-activity/stocks/mei
MEIP,"MEI Pharma, Inc. Common Stock",$0.346,0.0058,1.705%,"46,108,259",/market-activity/stocks/meip
MEKA,MELI Kaszek Pioneer Corp Class A Ordinary Shares,$9.95,0.05,0.505%,"295,763,750",/market-activity/stocks/meka
MELI,"MercadoLibre, Inc. Common Stock",$944.00,13.015,1.398%,"47,478,378,992",/market-activity/stocks/meli
MEOA,Minority Equality Opportunities Acquisition Inc. Class A Common Stock,$10.30,UNCH,--,"164,497,438",/market-activity/stocks/meoa
MEOAW,Minority Equality Opportunities Acquisition Inc. Warrants,$0.0625,0.0224,55.86%,NA,/market-activity/stocks/meoaw
MEOH,Methanex Corporation Common Stock,$39.07,0.06,0.154%,"2,733,870,115",/market-activity/stocks/meoh
MER^K,"Bank of America Corporation Income Capital Obligation Notes initially due December 15, 2066",$25.2501,0.0501,0.199%,NA,/market-activity/stocks/mer^k
MERC,Mercer International Inc. Common Stock,$13.89,0.09,0.652%,"919,062,283",/market-activity/stocks/merc
MESA,"Mesa Air Group, Inc. Common Stock",$1.295,0.045,3.60%,"47,002,285",/market-activity/stocks/mesa
MESO,Mesoblast Limited American Depositary Shares,$3.68,-0.02,-0.541%,"542,121,640",/market-activity/stocks/meso
MET,"MetLife, Inc. Common Stock",$76.92,0.22,0.287%,"60,351,909,289",/market-activity/stocks/met
MET^A,"MetLife, Inc. Preferred Series A Floating Rate",$21.785,0.025,0.115%,NA,/market-activity/stocks/met^a
MET^E,"MetLife, Inc. Depositary shares, each representing a 1/1000th interest in a share of the Issuera??s 5.625% Non-Cumulative Preferred Stock, Series E.",$24.3299,0.1299,0.537%,NA,/market-activity/stocks/met^e
MET^F,"MetLife, Inc. Depositary Shares, each representing a 1/1,000th interest in a share of 4.75% Non-Cumulative Preferred Stock, Series F",$20.5101,0.1101,0.54%,NA,/market-activity/stocks/met^f
META,"Meta Platforms, Inc. Class A Common Stock",$119.29,1.19,1.008%,"316,303,241,321",/market-activity/stocks/meta
METC,"Ramaco Resources, Inc. Common Stock",$11.405,-0.045,-0.393%,"503,208,011",/market-activity/stocks/metc
METCL,"Ramaco Resources, Inc. 9.00% Senior Notes due 2026",$26.25,0.225,0.865%,NA,/market-activity/stocks/metcl
METX,Meten Holding Group Ltd. Ordinary Shares,$0.2321,-0.0115,-4.721%,"3,147,121",/market-activity/stocks/metx
METXW,Meten Holding Group Ltd. Warrant,$0.04,-0.005,-11.111%,NA,/market-activity/stocks/metxw
MF,Missfresh Limited American Depositary Shares,$1.50,-0.03,-1.961%,"11,785,149",/market-activity/stocks/mf
MFA,"MFA Financial, Inc.",$11.42,0.24,2.147%,"1,162,521,066",/market-activity/stocks/mfa
MFA^B,"MFA Financial, Inc. Preferred Series B",$20.09,0.24,1.209%,NA,/market-activity/stocks/mfa^b
MFA^C,"MFA Financial, Inc. 6.50% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",$18.54,0.36,1.98%,NA,/market-activity/stocks/mfa^c
MFC,Manulife Financial Corporation Common Stock,$18.125,0.095,0.527%,"34,140,913,484",/market-activity/stocks/mfc
MFD,Macquarie First Trust Global Common Stock,$8.7776,0.0376,0.43%,"75,026,027",/market-activity/stocks/mfd
MFG,"Mizuho Financial Group, Inc. Sponosred ADR (Japan)",$2.435,-0.035,-1.417%,"30,855,333,825",/market-activity/stocks/mfg
MFGP,Micro Focus Intl PLC ADS each representing One Ord Sh,$6.375,0.155,2.492%,"2,162,051,734",/market-activity/stocks/mfgp
MFH,Mercurity Fintech Holding Inc. ADS,$0.8497,0.0475,5.921%,"12,140,599",/market-activity/stocks/mfh
MFIC,MidCap Financial Investment Corporation Common Stock,$12.43,0.04,0.323%,"813,560,392",/market-activity/stocks/mfic
MFIN,Medallion Financial Corp. Common Stock,$7.52,0.07,0.94%,"172,417,349",/market-activity/stocks/mfin
MFM,MFS Municipal Income Trust Common Stock,$5.20,UNCH,--,"214,175,681",/market-activity/stocks/mfm
MFV,MFS Special Value Trust Common Stock,$4.464,0.044,0.995%,"32,544,979",/market-activity/stocks/mfv
MG,Mistras Group Inc Common Stock,$3.97,0.03,0.761%,"118,685,083",/market-activity/stocks/mg
MGA,"Magna International, Inc. Common Stock",$62.68,1.09,1.77%,"17,915,150,841",/market-activity/stocks/mga
MGAM,Mobile Global Esports Inc. Common Stock,$0.8598,0.0748,9.529%,"17,558,486",/market-activity/stocks/mgam
MGEE,"MGE Energy, Inc",$72.30,0.29,0.403%,"2,614,611,651",/market-activity/stocks/mgee
MGF,MFS Government Markets Income Trust Common Stock,$3.37,-0.02,-0.59%,"109,853,214",/market-activity/stocks/mgf
MGI,"Moneygram International, Inc. Common Stock",$10.91,-0.01,-0.092%,"1,053,306,397",/market-activity/stocks/mgi
MGIC,Magic Software Enterprises Ltd. Ordinary Shares,$17.67,0.37,2.139%,"867,474,282",/market-activity/stocks/mgic
MGLD,"The Marygold Companies, Inc. Common Stock",$1.30,UNCH,--,"51,262,665",/market-activity/stocks/mgld
MGM,MGM Resorts International Common Stock,$37.10,0.24,0.651%,"14,247,152,982",/market-activity/stocks/mgm
MGNI,"Magnite, Inc. Common Stock",$11.61,0.50,4.50%,"1,548,596,564",/market-activity/stocks/mgni
MGNX,"MacroGenics, Inc. Common Stock",$6.78,0.35,5.443%,"416,801,998",/market-activity/stocks/mgnx
MGPI,"MGP Ingredients, Inc.",$124.28,-0.78,-0.624%,"2,733,418,794",/market-activity/stocks/mgpi
MGR,"Affiliated Managers Group, Inc. 5.875% Junior Subordinated Notes due 2059",$23.01,0.09,0.393%,NA,/market-activity/stocks/mgr
MGRB,"Affiliated Managers Group, Inc. 4.750% Junior Subordinated Notes due 2060",$19.1149,0.2949,1.567%,NA,/market-activity/stocks/mgrb
MGRC,McGrath RentCorp Common Stock,$97.86,-0.26,-0.265%,"2,386,066,068",/market-activity/stocks/mgrc
MGRD,"Affiliated Managers Group, Inc. 4.200% Junior Subordinated Notes due 2061",$17.0798,0.2298,1.364%,NA,/market-activity/stocks/mgrd
MGTA,"Magenta Therapeutics, Inc. Common Stock",$1.17,0.02,1.739%,"70,849,958",/market-activity/stocks/mgta
MGTX,MeiraGTx Holdings plc Ordinary Shares,$6.00,-0.16,-2.597%,"268,354,068",/market-activity/stocks/mgtx
MGU,Macquarie Global Infrastructure Total Return Fund Inc. Common Stock,$24.56,0.31,1.278%,"302,357,374",/market-activity/stocks/mgu
MGY,Magnolia Oil & Gas Corporation Class A Common Stock,$26.67,0.59,2.262%,"5,330,589,280",/market-activity/stocks/mgy
MGYR,"Magyar Bancorp, Inc. Common Stock",$12.99,0.14,1.089%,"92,200,747",/market-activity/stocks/mgyr
MH^A,"Maiden Holdings, Ltd. Pref Shs Ser A (Bermuda)",$6.24,0.11,1.794%,NA,/market-activity/stocks/mh^a
MH^C,"Maiden Holdings North America, Ltd. 7.125% Non-Cumulative Preference Shares, Series C",$6.20,0.04,0.649%,NA,/market-activity/stocks/mh^c
MH^D,"Maiden Holdings, Ltd. 6.700% Non-Cumulative Preference Shares, Series D",$6.11,0.02,0.328%,NA,/market-activity/stocks/mh^d
MHD,"Blackrock MuniHoldings Fund, Inc. Common Stock",$12.18,-0.02,-0.164%,"649,885,678",/market-activity/stocks/mhd
MHF,"Western Asset Municipal High Income Fund, Inc. Common Stock",$6.75,-0.04,-0.589%,"146,145,755",/market-activity/stocks/mhf
MHH,"Mastech Digital, Inc Common Stock",$13.35,-0.50,-3.61%,"155,096,415",/market-activity/stocks/mhh
MHI,"Pioneer Municipal High Income Fund, Inc.",$9.0836,0.0536,0.594%,"206,845,826",/market-activity/stocks/mhi
MHK,"Mohawk Industries, Inc. Common Stock",$103.34,2.01,1.984%,"6,565,606,867",/market-activity/stocks/mhk
MHLA,"Maiden Holdings, Ltd. 6.625% Notes due 2046",$16.93,0.96,6.011%,NA,/market-activity/stocks/mhla
MHLD,"Maiden Holdings, Ltd.",$2.07,-0.02,-0.957%,"180,445,003",/market-activity/stocks/mhld
MHN,"Blackrock MuniHoldings New York Quality Fund, Inc. Common Stock",$10.55,0.07,0.668%,"328,442,843",/market-activity/stocks/mhn
MHNC,"Maiden Holdings North America, Ltd. 7.75% Notes due 2043",$19.00,-0.12,-0.628%,NA,/market-activity/stocks/mhnc
MHO,"M/I Homes, Inc. Common Stock",$47.24,2.06,4.56%,"1,295,745,157",/market-activity/stocks/mho
MHUA,"Meihua International Medical Technologies Co., Ltd. Ordinary Shares",$13.39,-0.04,-0.298%,"320,556,600",/market-activity/stocks/mhua
MICS,"The Singing Machine Company, Inc. Common Stock",$4.6201,-0.5499,-10.636%,"14,363,032",/market-activity/stocks/mics
MICT,"MICT, Inc. Common Stock",$1.03,0.0587,6.043%,"133,453,193",/market-activity/stocks/mict
MIDD,Middleby Corporation (The) Common Stock,$146.75,2.56,1.775%,"7,907,406,854",/market-activity/stocks/midd
MIGI,Mawson Infrastructure Group Inc. Common Stock,$0.37,0.03,8.824%,"30,180,275",/market-activity/stocks/migi
MIMO,Airspan Networks Holdings Inc. Common Stock,$1.83,-0.01,-0.543%,"135,281,824",/market-activity/stocks/mimo
MIN,MFS Intermediate Income Trust Common Stock,$2.8879,-0.0021,-0.073%,"335,153,733",/market-activity/stocks/min
MIND,"MIND Technology, Inc. Common Stock (DE)",$0.4899,0.0237,5.084%,"6,754,204",/market-activity/stocks/mind
MINDP,MIND Technology Inc. Series A 9.00% Series A Cumulative Preferred Stock (DE),$6.15,UNCH,--,NA,/market-activity/stocks/mindp
MINM,"Minim, Inc. Common Stock",$0.1759,0.0137,8.446%,"8,193,199",/market-activity/stocks/minm
MIO,"Pioneer Municipal High Income Opportunities Fund, Inc. Common Stock",$11.2999,0.0299,0.265%,"190,801,896",/market-activity/stocks/mio
MIR,"Mirion Technologies, Inc. Class A Common Stock",$6.425,0.045,0.705%,"1,337,388,679",/market-activity/stocks/mir
MIRM,"Mirum Pharmaceuticals, Inc. Common Stock",$18.62,-0.03,-0.161%,"686,526,476",/market-activity/stocks/mirm
MIRO,Miromatrix Medical Inc. Common Stock,$4.10,-0.09,-2.148%,"85,707,610",/market-activity/stocks/miro
MIST,Milestone Pharmaceuticals Inc. Common Shares,$5.01,0.10,2.037%,"171,772,870",/market-activity/stocks/mist
MIT,"Mason Industrial Technology, Inc. Class A Common Stock",$9.96,UNCH,--,"622,500,000",/market-activity/stocks/mit
MITA,Coliseum Acquisition Corp. Class A Ordinary Share,$9.97,-0.01,-0.10%,"186,937,500",/market-activity/stocks/mita
MITAU,Coliseum Acquisition Corp. Unit,$10.0199,0.0299,0.299%,NA,/market-activity/stocks/mitau
MITAW,Coliseum Acquisition Corp. Warrant,$0.07,UNCH,--,NA,/market-activity/stocks/mitaw
MITK,"Mitek Systems, Inc. Common Stock",$10.50,0.27,2.639%,"469,144,505",/market-activity/stocks/mitk
MITQ,"Moving iMage Technologies, Inc. Common Stock",$1.1751,-0.0149,-1.252%,"12,877,213",/market-activity/stocks/mitq
MITT,"AG Mortgage Investment Trust, Inc. Common Stock",$6.115,0.135,2.258%,"134,910,689",/market-activity/stocks/mitt
MITT^A,"AG Mortgage Investment Trust, Inc. 8.25% Preferred Series A",$16.68,-0.07,-0.418%,NA,/market-activity/stocks/mitt^a
MITT^B,"AG Mortgage Investment Trust, Inc. Preferred Series B",$15.50,0.04,0.259%,NA,/market-activity/stocks/mitt^b
MITT^C,"AG Mortgage Investment Trust, Inc. 8.00% Series C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",$16.8543,-0.1256,-0.74%,NA,/market-activity/stocks/mitt^c
MIXT,"MiX Telematics Limited American Depositary Shares, each representing 25 Ordinary Shares",$7.80,-0.02,-0.256%,"172,250,809",/market-activity/stocks/mixt
MIY,"Blackrock MuniYield Michigan Quality Fund, Inc. Common Stock",$11.82,0.12,1.026%,"348,878,174",/market-activity/stocks/miy
MKC,"McCormick & Company, Incorporated Common Stock",$86.12,0.94,1.104%,"23,097,988,735",/market-activity/stocks/mkc
MKFG,Markforged Holding Corporation Common Stock,$1.145,0.005,0.439%,"222,286,731",/market-activity/stocks/mkfg
MKL,Markel Corporation Common Stock,"$1,331.58",6.74,0.509%,"17,910,284,964",/market-activity/stocks/mkl
MKSI,"MKS Instruments, Inc. Common Stock",$82.11,-1.75,-2.087%,"5,460,870,885",/market-activity/stocks/mksi
MKTW,"MarketWise, Inc. Class A Common Stock",$1.87,-0.03,-1.579%,"63,343,449",/market-activity/stocks/mktw
