ace_mode,aliases,codemirror_mime_type,codemirror_mode,color,extensions,filenames,fs_name,group,interpreters,language,language_id,searchable,tm_scope,type,wrap
"sql","","text/x-sql","sql","#e38c00",".sql,.cql,.ddl,.inc,.mysql,.prc,.tab,.udf,.viw","","","","","SQL","333","","source.sql","data",""
"sql","","text/x-sql","sql","#e38c00",".sql,.db2","","","","","SQLPL","334","","source.sql","programming",""
"lisp","","text/x-common-lisp","commonlisp","#348a34",".srt","","","","","SRecode Template","335","","source.lisp","markup",""
"text","","","","","","ssh-config,ssh_config,sshconfig,sshconfig.snip,sshd-config,sshd_config","","INI","","SSH Config","554920715","","source.ssh-config","data",""
"text","","","","",".star","","","","","STAR","424510560","","source.star","data",""
"text","ascii stl,stla","","","#373b5e",".stl","","","","","STL","455361735","","source.stl","data",""
"text","","","","",".ston","","","Smalltalk","","STON","336","","source.smalltalk","data",""
"xml","","text/xml","xml","#ff9900",".svg","","","","","SVG","337","","text.xml.svg","data",""
"c_cpp","","text/x-c++src","clike","",".i","","","","","SWIG","1066250075","","source.c++","programming",""
"python","","text/x-python","python","",".sage,.sagews","","","","","Sage","338","","source.python","programming",""
"yaml","saltstate,salt","text/x-yaml","yaml","#646464",".sls","","","","","SaltStack","339","","source.yaml.salt","programming",""
"sass","","text/x-sass","sass","#a53b70",".sass","","","","","Sass","340","","source.sass","markup",""
"scala","","text/x-scala","clike","#c22d40",".scala,.kojo,.sbt,.sc","","","","scala","Scala","341","","source.scala","programming",""
"text","","","","#bd181a",".scaml","","","","","Scaml","342","","source.scaml","markup",""
"scheme","","text/x-scheme","scheme","#1e4aec",".scm,.sch,.sld,.sls,.sps,.ss","","","","scheme,guile,bigloo,chicken,csi,gosh,r6rs","Scheme","343","","source.scheme","programming",""
"text","","","","#ca0f21",".sci,.sce,.tst","","","","","Scilab","344","","source.scilab","programming",""
"text","","","","#0579aa",".self","","","","","Self","345","","none","programming",""
"text","","","","#222c37",".shader","","","","","ShaderLab","664257356","","source.shaderlab","programming",""
"sh","sh,shell-script,bash,zsh","text/x-sh","shell","#89e051",".sh,.bash,.bats,.cgi,.command,.env,.fcgi,.ksh,.sh.in,.tmux,.tool,.zsh,.zsh-theme",".bash_aliases,.bash_history,.bash_logout,.bash_profile,.bashrc,.cshrc,.env,.env.example,.flaskenv,.kshrc,.login,.profile,.zlogin,.zlogout,.zprofile,.zshenv,.zshrc,9fs,PKGBUILD,bash_aliases,bash_logout,bash_profile,bashrc,cshrc,gradlew,kshrc,login,man,profile,zlogin,zlogout,zprofile,zshenv,zshrc","","","ash,bash,dash,ksh,mksh,pdksh,rc,sh,zsh","Shell","346","","source.shell","programming",""
"ini","shellcheckrc","text/x-properties","properties","#cecfcb","",".shellcheckrc","","","","ShellCheck Config","687511714","","source.shellcheckrc","data",""
"sh","bash session,console","text/x-sh","shell","",".sh-session","","","","","ShellSession","347","","text.shell-session","programming",""
"text","","","","#120F14",".shen","","","","","Shen","348","","source.shen","programming",""
"text","","application/sieve","sieve","",".sieve","","","","","Sieve","208976687","","source.sieve","programming",""
"text","","","","#64E6AD","","Singularity","","","","Singularity","987024632","","source.singularity","programming",""
"text","","","","#007eff",".sl","","","","","Slash","349","","text.html.slash","programming",""
"text","","","","#003fa2",".ice","","","","","Slice","894641667","","source.slice","programming",""
"text","","text/x-slim","slim","#2b2b2b",".slim","","","","","Slim","350","","text.slim","markup",""
"text","coccinelle","","","#c94949",".cocci","","","","","SmPL","164123055","","source.smpl","programming",""
"text","","","","",".smali","","","","","Smali","351","","source.smali","programming",""
"text","squeak","text/x-stsrc","smalltalk","#596706",".st,.cs","","","","","Smalltalk","352","","source.smalltalk","programming",""
"smarty","","text/x-smarty","smarty","#f0c040",".tpl","","","","","Smarty","353","","text.html.smarty","programming",""
"text","","","","#AA6746",".sol","","","","","Solidity","237469032","","source.solidity","programming",""
"text","","","","","","Android.bp","","","","Soong","222900098","","source.bp","data",""
"text","sourcemod","","","#f69e1d",".sp,.inc","","","","","SourcePawn","354","","source.sourcepawn","programming",""
"yaml","","","","",".sfd","","","","","Spline Font Database","767169629","","text.sfd","data",""
"c_cpp","","text/x-c++src","clike","#800000",".nut","","","","","Squirrel","355","","source.nut","programming",""
"text","","","","#b2011d",".stan","","","","","Stan","356","","source.stan","programming",""
"text","sml","text/x-ocaml","mllike","#dc566d",".ml,.fun,.sig,.sml","","","","","Standard ML","357","","source.ml","programming",""
"python","bazel,bzl","text/x-python","python","#76d275",".bzl,.star","BUCK,BUILD,BUILD.bazel,Tiltfile,WORKSPACE","","","","Starlark","960266174","","source.python","programming",""
"text","","","","#1a5f91",".do,.ado,.doh,.ihlp,.mata,.matah,.sthlp","","","","","Stata","358","","source.stata","programming",""
"html","","text/html","htmlmixed","#3fb34f",".st","","","","","StringTemplate","89855901","","source.string-template","markup",""
"stylus","","","","#ff6347",".styl","","","","","Stylus","359","","source.stylus","markup",""
"text","","","","#9e0101",".srt","","","","","SubRip Text","360","","text.srt","data",""
"text","","","","#2fcc9f",".sss","","","","","SugarSS","826404698","","source.css.postcss.sugarss","markup",""
"text","","","","#46390b",".sc,.scd","","","","sclang,scsynth","SuperCollider","361","","source.supercollider","programming",""
"html","","text/html","htmlmixed","#ff3e00",".svelte","","","","","Svelte","928734530","","source.svelte","markup",""
"text","","text/x-swift","swift","#F05138",".swift","","","","","Swift","362","","source.swift","programming",""
"verilog","","text/x-systemverilog","verilog","#DAE1C2",".sv,.svh,.vh","","","","","SystemVerilog","363","","source.systemverilog","programming",""
"text","","","","#A0AA87",".8xp,.8xk,.8xk.txt,.8xp.txt","","","","","TI Program","422","","none","programming",""
"text","","","","#4b0079",".tla","","","","","TLA","364","","source.tla","programming",""
"toml","","text/x-toml","toml","#9c4221",".toml","Cargo.lock,Gopkg.lock,Pipfile,poetry.lock","","","","TOML","365","","source.toml","data",""
"sql","","","","#e38c00",".sql","","","","","TSQL","918334941","","source.tsql","programming",""
"text","","","","#237346",".tsv","","","","","TSV","1035892117","","source.generic-db","data",""
"javascript","","text/jsx","jsx","#3178c6",".tsx","","","TypeScript","","TSX","94901924","","source.tsx","programming",""
"text","","","","#0178b8",".txl","","","","","TXL","366","","source.txl","programming",""
"text","","","","#333333",".talon","","","","","Talon","959889508","","source.talon","programming",""
"tcl","","text/x-tcl","tcl","#e4cc98",".tcl,.adp,.tcl.in,.tm","owh,starfield","","","tclsh,wish","Tcl","367","","source.tcl","programming",""
"sh","","text/x-sh","shell","",".tcsh,.csh","","","Shell","tcsh,csh","Tcsh","368","","source.shell","programming",""
"tex","latex","text/x-stex","stex","#3D6117",".tex,.aux,.bbx,.cbx,.cls,.dtx,.ins,.lbx,.ltx,.mkii,.mkiv,.mkvi,.sty,.toc","","","","","TeX","369","","text.tex.latex","markup","true"
"text","","","","",".tea","","","","","Tea","370","","source.tea","markup",""
"lua","","text/x-lua","lua","#00004c",".t","","","","lua","Terra","371","","source.terra","programming",""
"text","","","","",".texinfo,.texi,.txi","","","","makeinfo","Texinfo","988020015","","text.texinfo","prose","true"
"text","fundamental,plain text","","","",".txt,.fr,.nb,.ncl,.no","CITATION,CITATIONS,COPYING,COPYING.regex,COPYRIGHT.regex,FONTLOG,INSTALL,INSTALL.mysql,LICENSE,LICENSE.mysql,NEWS,README.me,README.mysql,README.nss,click.me,delete.me,keep.me,package.mask,package.use.mask,package.use.stable.mask,read.me,readme.1st,test.me,use.mask,use.stable.mask","","","","Text","372","","none","prose","true"
"properties","tm-properties","text/x-properties","properties","#df66e4","",".tm_properties","","","","TextMate Properties","981795023","","source.tm-properties","data",""
"textile","","text/x-textile","textile","#ffe7ac",".textile","","","","","Textile","373","","none","prose","true"
"text","","","","#D12127",".thrift","","","","","Thrift","374","","source.thrift","programming",""
"text","","","","#cf142b",".t,.tu","","","","","Turing","375","","source.turing","programming",""
"text","","text/turtle","turtle","",".ttl","","","","","Turtle","376","","source.turtle","data",""
"twig","","text/x-twig","twig","#c1d026",".twig","","","","","Twig","377","","text.html.twig","markup",""
"text","tl","","","",".tl","","","","","Type Language","632765617","","source.tl","data",""
"typescript","ts","application/typescript","javascript","#3178c6",".ts,.cts,.mts","","","","deno,ts-node","TypeScript","378","","source.ts","programming",""
"c_cpp","","text/x-csrc","clike","#4e3617",".upc","","","C","","Unified Parallel C","379","","source.c","programming",""
"yaml","","text/x-yaml","yaml","#222c37",".anim,.asset,.mask,.mat,.meta,.prefab,.unity","","","","","Unity3D Asset","380","","source.yaml","data",""
"assembly_x86","gas,gnu asm,unix asm","","","",".s,.ms","","","Assembly","","Unix Assembly","120","","source.x86","programming",""
"csharp","","text/x-csharp","clike","#9933cc",".uno","","","","","Uno","381","","source.cs","programming",""
"java","","text/x-java","clike","#a54c4d",".uc","","","","","UnrealScript","382","","source.java","programming",""
"text","Ur/Web,Ur","","","#ccccee",".ur,.urs","","","","","UrWeb","383","","source.ur","programming",""
"golang","vlang","text/x-go","go","#4f87c4",".v","","","","","V","603371597","","source.v","programming",""
"text","vb6,visual basic 6,visual basic for applications","text/x-vb","vb","#867db1",".bas,.cls,.frm,.frx,.vba","","","","","VBA","399230729","","source.vbnet","programming",""
"text","","text/vbscript","vbscript","#15dcdc",".vbs","","","","","VBScript","408016005","","source.vbnet","programming",""
"text","","","","#148AA8",".vcl","","","","","VCL","384","","source.varnish.vcl","programming",""
"vhdl","","text/x-vhdl","vhdl","#adb2cb",".vhdl,.vhd,.vhf,.vhi,.vho,.vhs,.vht,.vhw","","","","","VHDL","385","","source.vhdl","programming",""
"vala","","","","#a56de2",".vala,.vapi","","","","","Vala","386","","source.vala","programming",""
"text","keyvalues,vdf","","","#f26025",".vdf","","","","","Valve Data Format","544060961","","source.keyvalues","data",""
"velocity","vtl,velocity","text/velocity","velocity","#507cff",".vtl","","","","","Velocity Template Language","292377326","","source.velocity","markup",""
"verilog","","text/x-verilog","verilog","#b2b7f8",".v,.veo","","","","","Verilog","387","","source.verilog","programming",""
"text","help,vimhelp","","","#199f4b",".txt","","","","","Vim Help File","508563686","","text.vim-help","prose",""
"text","vim,viml,nvim","","","#199f4b",".vim,.vba,.vimrc,.vmb",".exrc,.gvimrc,.nvimrc,.vimrc,_vimrc,gvimrc,nvimrc,vimrc","","","","Vim Script","388","","source.viml","programming",""
"text","SnipMate,UltiSnip,UltiSnips,NeoSnippet","","","#199f4b",".snip,.snippet,.snippets","","","","","Vim Snippet","81265970","","source.vim-snippet","markup",""
"text","visual basic,vbnet,vb .net,vb.net","text/x-vb","vb","#945db7",".vb,.vbhtml","","","","","Visual Basic .NET","389","","source.vbnet","programming",""
"d","","text/x-d","d","#1F1F1F",".volt","","","","","Volt","390","","source.d","programming",""
"html","","","","#41b883",".vue","","","","","Vue","391","","text.html.vue","markup",""
"text","","","","#2980b9",".vy","","","","","Vyper","1055641948","","source.vyper","programming",""
"text","","","","",".mtl","","","","","Wavefront Material","392","","source.wavefront.mtl","data",""
"text","","","","",".obj","","","","","Wavefront Object","393","","source.wavefront.obj","data",""
"xml","","","","#5b70bd",".owl","","","","","Web Ontology Language","394","","text.xml","data",""
"lisp","wast,wasm","text/x-common-lisp","commonlisp","#04133b",".wast,.wat","","","","","WebAssembly","956556503","","source.webassembly","programming",""
"text","","text/x-webidl","webidl","",".webidl","","","","","WebIDL","395","","source.webidl","programming",""
"text","vtt","","","",".vtt","","","","","WebVTT","658679714","","text.vtt","data","true"
"text","wgetrc","","","","",".wgetrc","","INI","","Wget Config","668457123","","source.wgetrc","data",""
"text","","","","#d5c397",".whiley","","","","","Whiley","888779559","","source.whiley","programming",""
"text","mediawiki,wiki","","","#fc5757",".mediawiki,.wiki,.wikitext","","","","","Wikitext","228","","text.html.mediawiki","prose","true"
"ini","","text/x-properties","properties","",".mc","","","","","Win32 Message File","950967261","","source.win32-messages","data",""
"ini","","text/x-properties","properties","#52d5ff",".reg","","","","","Windows Registry Entries","969674868","","source.reg","data",""
"text","","","","#ff0000",".ws","","","","","Witcher Script","686821385","","source.witcherscript","programming",""
"text","","","","#a23738",".wlk","","","","","Wollok","632745969","","source.wollok","programming",""
"text","","","","#f7e43f",".toc","","","","","World of Warcraft Addon Data","396","","source.toc","data",""
"text","wrenlang","","","#383838",".wren","","","","","Wren","713580619","","source.wren","programming",""
"c_cpp","xbm","text/x-csrc","clike","",".xbm","","","C","","X BitMap","782911107","","source.c","data",""
"text","","","","","","encodings.dir,fonts.alias,fonts.dir,fonts.scale","","","","X Font Directory Index","208700028","","source.fontdir","data",""
"c_cpp","xpm","text/x-csrc","clike","",".xpm,.pm","","","C","","X PixMap","781846279","","source.c","data",""
"text","xten","","","#4B6BEF",".x10","","","","","X10","397","","source.x10","programming",""
"c_cpp","","text/x-csrc","clike","#99DA07",".xc","","","","","XC","398","","source.xc","programming",""
"text","","","","","",".XCompose,XCompose,xcompose","","","","XCompose","225167241","","config.xcompose","data",""
"xml","rss,xsd,wsdl","text/xml","xml","#0060ac",".xml,.adml,.admx,.ant,.axaml,.axml,.builds,.ccproj,.ccxml,.clixml,.cproject,.cscfg,.csdef,.csl,.csproj,.ct,.depproj,.dita,.ditamap,.ditaval,.dll.config,.dotsettings,.filters,.fsproj,.fxml,.glade,.gml,.gmx,.grxml,.gst,.hzp,.iml,.ivy,.jelly,.jsproj,.kml,.launch,.mdpolicy,.mjml,.mm,.mod,.mxml,.natvis,.ncl,.ndproj,.nproj,.nuspec,.odd,.osm,.pkgproj,.pluginspec,.proj,.props,.ps1xml,.psc1,.pt,.qhelp,.rdf,.res,.resx,.rs,.rss,.sch,.scxml,.sfproj,.shproj,.srdf,.storyboard,.sublime-snippet,.targets,.tml,.ts,.tsx,.ui,.urdf,.ux,.vbproj,.vcxproj,.vsixmanifest,.vssettings,.vstemplate,.vxml,.wixproj,.workflow,.wsdl,.wsf,.wxi,.wxl,.wxs,.x3d,.xacro,.xaml,.xib,.xlf,.xliff,.xmi,.xml.dist,.xmp,.xproj,.xsd,.xspec,.xul,.zcml",".classpath,.cproject,.project,App.config,NuGet.config,Settings.StyleCop,Web.Debug.config,Web.Release.config,Web.config,packages.config","","","","XML","399","","text.xml","data",""
"xml","","text/xml","xml","#0060ac",".plist,.stTheme,.tmCommand,.tmLanguage,.tmPreferences,.tmSnippet,.tmTheme","","","XML","","XML Property List","75622871","","text.xml.plist","data",""
"xml","","text/xml","xml","",".xsp-config,.xsp.metadata","","","","","XPages","400","","text.xml","data",""
"xml","","text/xml","xml","",".xpl,.xproc","","","","","XProc","401","","text.xml","programming",""
"xquery","","application/xquery","xquery","#5232e7",".xquery,.xq,.xql,.xqm,.xqy","","","","","XQuery","402","","source.xq","programming",""
"c_cpp","","text/x-csrc","clike","",".xs","","","","","XS","403","","source.c","programming",""
"xml","xsl","text/xml","xml","#EB8CEB",".xslt,.xsl","","","","","XSLT","404","","text.xml.xsl","programming",""
"text","","","","#81bd41",".xojo_code,.xojo_menu,.xojo_report,.xojo_script,.xojo_toolbar,.xojo_window","","","","","Xojo","405","","source.xojo","programming",""
"text","","text/x-python","python","#285EEF",".xsh","","","","","Xonsh","614078284","","source.python","programming",""
"text","","","","#24255d",".xtend","","","","","Xtend","406","","source.xtend","programming",""
"yaml","yml","text/x-yaml","yaml","#cb171e",".yml,.mir,.reek,.rviz,.sublime-syntax,.syntax,.yaml,.yaml-tmlanguage,.yaml.sed,.yml.mysql",".clang-format,.clang-tidy,.gemrc,CITATION.cff,glide.lock,yarn.lock","","","","YAML","407","","source.yaml","data",""
"text","","","","",".yang","","","","","YANG","408","","source.yang","data",""
"text","","","","#220000",".yar,.yara","","","","","YARA","805122868","","source.yara","programming",""
"text","snippet,yas","","","#32AB90",".yasnippet","","","","","YASnippet","378760102","","source.yasnippet","markup",""
"text","","","","#4B6C4B",".y,.yacc,.yy","","","","","Yacc","409","","source.yacc","programming",""
"text","","","","#794932",".yul","","","","","Yul","237469033","","source.yul","programming",""
"text","","","","#0d665e",".zap,.xzap","","","","","ZAP","952972794","","source.zap","programming",""
"text","","","","#dc75e5",".zil,.mud","","","","","ZIL","973483626","","source.zil","programming",""
"text","bro","","","",".zeek,.bro","","","","","Zeek","40","","source.zeek","programming",""
"text","","","","#00BCD1",".zs","","","","","ZenScript","494938890","","source.zenscript","programming",""
"php","","","","#118f9e",".zep","","","","","Zephir","410","","source.php.zephir","programming",""
"text","","","","#ec915c",".zig","","","","","Zig","646424281","","source.zig","programming",""
"text","","","","#d67711",".zimpl,.zmpl,.zpl","","","","","Zimpl","411","","none","programming",""
"text","curlrc","","","","",".curlrc,_curlrc","","INI","","cURL Config","992375436","","source.curlrc","data",""
"text","","","","",".desktop,.desktop.in,.service","","","","","desktop","412","","source.desktop","data",""
"text","","","","",".dircolors",".dir_colors,.dircolors,DIR_COLORS,_dir_colors,_dircolors,dir_colors","","","","dircolors","691605112","","source.dircolors","data",""
"text","","","","#913960",".ec,.eh","","","","","eC","413","","source.c.ec","programming",""
"clojure","","text/x-clojure","clojure","",".edn","","","","","edn","414","","source.clojure","data",""
"text","","","","#4aae47",".fish","","","Shell","fish","fish","415","","source.fish","programming",""
"text","","","","#00b171",".hoon","","","","","hoon","560883276","","source.hoon","programming",""
"text","","","","#c7254e",".jq","","","","","jq","905371884","","source.jq","programming",""
"text","","","","#1da6e0",".kv","","","","","kvlang","970675279","","source.python.kivy","markup",""
"text","","","","#3d57c3",".mrc","","","","","mIRC Script","517654727","","source.msl","programming",""
"text","","","","#E22837",".mcfunction","","","","","mcfunction","462488745","","source.mcfunction","programming",""
"text","","","","#244963",".mu","","","","","mupad","416","","source.mupad","programming",""
"text","","","","#2d004d",".nanorc",".nanorc,nanorc","","INI","","nanorc","775996197","","source.nanorc","data",""
"text","","","","#94B0C7",".nc","","","","","nesC","417","","source.nesc","programming",""
"text","","","","#b0b77e",".ooc","","","","","ooc","418","","source.ooc","programming",""
"text","","","","#0040cd",".q","","","","","q","970539067","","source.q","programming",""
"text","rst","text/x-rst","rst","#141414",".rst,.rest,.rest.txt,.rst.txt","","","","","reStructuredText","419","","text.restructuredtext","prose","true"
"text","robots,robots txt","","","","","robots.txt","","","","robots.txt","674736065","","text.robots-txt","data",""
"text","","","","#64b970",".sed","","","","gsed,minised,sed,ssed","sed","847830017","","source.sed","programming",""
"text","","","","#42f1f4",".wdl","","","","","wdl","374521672","","source.wdl","programming",""
"clojure","","text/x-clojure","clojure","#7582D1",".wisp","","","","","wisp","420","","source.clojure","programming",""
"text","advpl,clipper,foxpro","","","#403a40",".prg,.ch,.prw","","","","","xBase","421","","source.harbour","programming",""
